Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
FREGAT DEB	2024-06-27 22:47:04.833691	90.000000	48.114136	-6351048.276151	-6.711902	3.049792	1.213071
CSS (WENTIAN)	2024-06-27 22:48:04.833691	90.000000	49.019764	-6352572.741201	-6.485932	3.852822	1.672589
CSS (MENGTIAN)	2024-06-27 22:51:04.833691	90.000000	64.287871	-6352364.178754	-7.161442	2.831356	0.636651
SL-4 R/B	2024-06-27 22:57:04.833691	90.000000	49.399780	-6351705.796038	-6.709244	3.691831	1.315175
ISS DEB	2024-06-27 22:59:04.833691	-90.000000	21.501290	-6352305.220834	-5.029601	5.019686	-3.123860
CSS (TIANHE)	2024-06-27 23:00:04.833691	-90.000000	-30.662031	-6355300.445004	3.943117	4.551299	4.834682
CSS (TIANHE)	2024-06-27 23:15:04.833691	90.000000	16.463394	-6353879.794086	-3.599559	5.621752	3.891372
SOYUZ-MS 23	2024-06-27 23:26:04.833691	-90.000000	23.259581	-6351550.982079	-4.000795	6.507524	-0.905113
PROGRESS-MS 22	2024-06-27 23:40:04.833691	90.000000	-18.328156	-6351607.095344	3.796479	6.579884	-1.282030
ISS (NAUKA)	2024-06-27 23:46:04.833691	90.000000	11.752940	-6352487.857365	1.597396	6.651752	-3.541763
SOYUZ-MS 22	2024-06-27 23:49:04.833691	90.000000	22.912624	-6353211.375571	0.371554	6.262906	-4.469212
CREW DRAGON 5	2024-06-27 23:50:04.833691	90.000000	26.202114	-6353487.684873	-0.043219	6.073181	-4.737948
CYGNUS NG-18	2024-06-27 23:52:04.833691	90.000000	32.286191	-6354085.293652	-0.870259	5.608713	-5.206994
PROGRESS-MS 22	2024-06-27 23:55:04.833691	90.000000	40.501913	-6355072.508112	-2.075290	4.716900	-5.723627
ISS (ZARYA)	2024-06-27 23:58:04.833691	90.000000	-25.577277	-6351537.103013	4.198002	6.408253	-0.822461
ISS (NAUKA)	2024-06-28 00:01:04.833691	-90.000000	55.408491	-6356288.589954	-4.173641	2.380916	-6.015801
CSS (WENTIAN)	2024-06-28 00:03:04.833691	90.000000	-9.818212	-6356066.618765	0.472429	5.822128	5.056427
SOYUZ-MS 22	2024-06-28 00:04:04.833691	-90.000000	62.911927	-6355223.310079	-4.977804	1.036473	-5.779259
CREW DRAGON 5	2024-06-28 00:05:04.833691	-90.000000	65.519043	-6354880.459726	-5.200365	0.575949	-5.645186
CSS (MENGTIAN)	2024-06-28 00:06:04.833691	90.000000	-0.610695	-6355177.944933	-1.101945	5.967300	4.782945
TIANZHOU-5	2024-06-28 00:08:04.833691	90.000000	5.845110	-6354621.051574	-2.129337	5.921067	4.484594
SHENZHOU-15	2024-06-28 00:09:04.833691	90.000000	9.208821	-6354357.355401	-2.628895	5.855172	4.302609
SL-4 R/B	2024-06-28 00:12:04.833691	90.000000	-6.833390	-6354768.103862	-1.158789	5.234292	5.638466
ISS (ZARYA)	2024-06-28 00:13:04.833691	90.000000	37.087524	-6354693.742288	-1.593464	5.088471	-5.558745
ISS DEB	2024-06-28 00:14:04.833691	-90.000000	-23.276902	-6356520.606161	1.716023	4.513026	-6.089557
FREGAT DEB	2024-06-28 00:17:04.833691	-90.000000	-26.440549	-6355022.500786	2.395448	3.428441	5.033246
CSS (WENTIAN)	2024-06-28 00:18:04.833691	90.000000	45.780750	-6352635.082158	-6.292185	4.077736	1.868144
CSS (MENGTIAN)	2024-06-28 00:21:04.833691	90.000000	60.832568	-6352390.233860	-7.031851	3.090489	0.842857
SL-4 R/B	2024-06-28 00:27:04.833691	90.000000	58.176003	-6351617.822735	-6.988413	3.323686	0.694573
ISS DEB	2024-06-28 00:29:04.833691	-90.000000	25.931563	-6352128.685165	-5.366161	4.889213	-2.746781
FREGAT DEB	2024-06-28 00:32:04.833691	90.000000	-0.055687	-6353914.616261	-2.416105	4.587639	4.639856
CSS (TIANHE)	2024-06-28 00:45:04.833691	90.000000	13.908069	-6354021.990927	-3.279848	5.721538	4.026142
FREGAT DEB	2024-06-28 00:47:04.833691	90.000000	47.465350	-6351053.380901	-6.682744	3.093001	1.238927
SOYUZ-MS 23	2024-06-28 00:56:04.833691	-90.000000	18.532401	-6351596.959784	-3.734470	6.616985	-1.203016
PROGRESS-MS 22	2024-06-28 01:10:04.833691	90.000000	-27.144186	-6351523.557120	4.264945	6.376639	-0.709687
ISS (NAUKA)	2024-06-28 01:16:04.833691	90.000000	5.427825	-6352211.098688	2.186128	6.725080	-3.055851
SOYUZ-MS 22	2024-06-28 01:19:04.833691	90.000000	17.656907	-6352853.645243	0.984139	6.472886	-4.058597
CREW DRAGON 5	2024-06-28 01:20:04.833691	90.000000	21.229916	-6353106.184330	0.571569	6.327024	-4.356498
CYGNUS NG-18	2024-06-28 01:22:04.833691	90.000000	27.777405	-6353661.771861	-0.259788	5.946491	-4.889167
PROGRESS-MS 22	2024-06-28 01:25:04.833691	90.000000	36.462141	-6354601.180833	-1.492878	5.168139	-5.512153
ISS (NAUKA)	2024-06-28 01:31:04.833691	90.000000	51.670844	-6356710.353919	-3.719430	2.997330	-6.039073
CSS (WENTIAN)	2024-06-28 01:33:04.833691	90.000000	-11.970245	-6356245.068837	0.819453	5.758553	5.084554
SOYUZ-MS 22	2024-06-28 01:34:04.833691	-90.000000	59.049477	-6355714.108187	-4.618189	1.697522	-5.920782
CREW DRAGON 5	2024-06-28 01:35:04.833691	-90.000000	61.572449	-6355361.614705	-4.875865	1.245680	-5.824987
CSS (MENGTIAN)	2024-06-28 01:36:04.833691	90.000000	-2.840510	-6355347.510262	-0.754867	5.964436	4.853190
CYGNUS NG-18	2024-06-28 01:37:04.833691	-90.000000	66.805797	-6354677.986668	-5.320948	0.326934	-5.551471
TIANZHOU-5	2024-06-28 01:38:04.833691	90.000000	3.524505	-6354780.582587	-1.790601	5.958915	4.581334
SHENZHOU-15	2024-06-28 01:39:04.833691	90.000000	6.830772	-6354510.702844	-2.296791	5.913151	4.411925
SL-4 R/B	2024-06-28 01:42:04.833691	90.000000	-3.026406	-6354286.420973	-1.881015	5.308744	5.365834
ISS (ZARYA)	2024-06-28 01:43:04.833691	90.000000	32.971122	-6354245.911846	-1.004459	5.488166	-5.311113
ISS DEB	2024-06-28 01:44:04.833691	-90.000000	-21.073844	-6356155.117176	1.233468	4.712036	-6.054923
CSS (WENTIAN)	2024-06-28 01:48:04.833691	90.000000	42.598356	-6352704.216843	-6.085389	4.293271	2.060512
CSS (MENGTIAN)	2024-06-28 01:51:04.833691	90.000000	57.409631	-6352423.505621	-6.887517	3.342680	1.047566
TIANZHOU-5	2024-06-28 01:53:04.833691	90.000000	67.856012	-6352339.862429	-7.258973	2.626214	0.344398
SL-4 R/B	2024-06-28 01:57:04.833691	90.000000	67.286040	-6351584.502040	-7.198175	2.923349	0.066674
ISS DEB	2024-06-28 01:59:04.833691	-90.000000	30.701745	-6351975.131150	-5.677916	4.738104	-2.355782
CSS (TIANHE)	2024-06-28 02:15:04.833691	90.000000	11.399311	-6354168.829703	-2.953502	5.807283	4.153903
FREGAT DEB	2024-06-28 02:17:04.833691	-90.000000	-26.790670	-6355000.742492	2.430033	3.407447	5.027434
SOYUZ-MS 23	2024-06-28 02:26:04.833691	-90.000000	13.931299	-6351655.867643	-3.457746	6.707014	-1.497953
FREGAT DEB	2024-06-28 02:32:04.833691	90.000000	-0.447852	-6353935.644560	-2.370265	4.595873	4.648428
ISS (NAUKA)	2024-06-28 02:46:04.833691	90.000000	-1.493009	-6351976.334406	2.755083	6.730160	-2.541857
FREGAT DEB	2024-06-28 02:47:04.833691	90.000000	46.818889	-6351058.609377	-6.653212	3.135912	1.264701
SOYUZ-MS 22	2024-06-28 02:49:04.833691	90.000000	11.944649	-6352531.998777	1.589511	6.616543	-3.610615
CREW DRAGON 5	2024-06-28 02:50:04.833691	90.000000	15.852474	-6352758.441931	1.183433	6.515819	-3.934915
CYGNUS NG-18	2024-06-28 02:52:04.833691	90.000000	22.959874	-6353266.887416	0.356372	6.222694	-4.526254
PROGRESS-MS 22	2024-06-28 02:55:04.833691	90.000000	32.235474	-6354149.822652	-0.892088	5.565198	-5.249789
ISS (NAUKA)	2024-06-28 03:01:04.833691	90.000000	47.930073	-6356205.158798	-3.224313	3.580931	-6.006578
CSS (WENTIAN)	2024-06-28 03:03:04.833691	90.000000	-14.114117	-6356424.268630	1.164020	5.681024	5.104240
SOYUZ-MS 22	2024-06-28 03:04:04.833691	-90.000000	55.268899	-6356214.386900	-4.208837	2.338786	-6.007686
CREW DRAGON 5	2024-06-28 03:05:04.833691	-90.000000	57.737997	-6355855.501191	-4.499148	1.900174	-5.951081
CSS (MENGTIAN)	2024-06-28 03:06:04.833691	90.000000	-5.048772	-6355519.317680	-0.406874	5.947234	4.915354
CYGNUS NG-18	2024-06-28 03:07:04.833691	-90.000000	62.798132	-6355152.130909	-5.014639	0.998525	-5.753897
TIANZHOU-5	2024-06-28 03:08:04.833691	90.000000	1.234792	-6354943.300465	-1.448715	5.982517	4.670432
SHENZHOU-15	2024-06-28 03:09:04.833691	90.000000	4.488379	-6354667.687501	-1.960443	5.957033	4.513875
SL-4 R/B	2024-06-28 03:12:04.833691	90.000000	1.045256	-6353831.106720	-2.582165	5.335190	5.035996
ISS (ZARYA)	2024-06-28 03:13:04.833691	90.000000	28.634562	-6353820.525383	-0.402492	5.832454	-5.016176
ISS DEB	2024-06-28 03:14:04.833691	-90.000000	-18.843518	-6355792.349684	0.746632	4.893145	-5.989807
CSS (WENTIAN)	2024-06-28 03:18:04.833691	90.000000	39.474790	-6352780.020677	-5.866024	4.498917	2.249379
CSS (MENGTIAN)	2024-06-28 03:21:04.833691	90.000000	54.025357	-6352463.928128	-6.728786	3.587333	1.250443
TIANZHOU-5	2024-06-28 03:23:04.833691	90.000000	64.372378	-6352355.632559	-7.144620	2.891108	0.551777
SHENZHOU-15	2024-06-28 03:24:04.833691	90.000000	69.653677	-6352333.143873	-7.301522	2.521331	0.197626
ISS (ZARYA)	2024-06-28 03:28:04.833691	-90.000000	67.494383	-6354501.191438	-5.422454	0.151875	-5.460519
ISS DEB	2024-06-28 03:29:04.833691	-90.000000	35.816621	-6351845.375481	-5.963513	4.566773	-1.952782
CSS (TIANHE)	2024-06-28 03:45:04.833691	90.000000	8.934173	-6354320.050424	-2.621271	5.878772	4.274442
SOYUZ-MS 23	2024-06-28 03:56:04.833691	-90.000000	9.475797	-6351727.560496	-3.171518	6.777272	-1.789195
ISS (NAUKA)	2024-06-28 04:16:04.833691	90.000000	-9.040620	-6351785.703293	3.298303	6.667249	-2.004537
FREGAT DEB	2024-06-28 04:17:04.833691	-90.000000	-27.140768	-6354979.017622	2.464436	3.386207	5.021574
SOYUZ-MS 22	2024-06-28 04:19:04.833691	90.000000	5.705326	-6352249.380702	2.181369	6.692723	-3.129432
CREW DRAGON 5	2024-06-28 04:20:04.833691	90.000000	9.998223	-6352447.645081	1.786019	6.637948	-3.477128
