Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
FREGAT DEB	2024-06-28 22:19:47.568168	-90.000000	-25.765729	-6355608.503849	2.010975	3.585664	5.123562
SL-4 R/B	2024-06-28 22:29:47.568168	90.000000	22.374869	-6352211.028957	-5.089452	5.102126	2.912098
ISS DEB	2024-06-28 22:31:47.568168	-90.000000	-20.885037	-6355493.226158	0.683216	4.994940	-5.912576
ISS (NAUKA)	2024-06-28 22:33:47.568168	90.000000	-7.784901	-6351914.591354	3.393251	6.492971	-2.382836
FREGAT DEB	2024-06-28 22:34:47.568168	90.000000	1.354183	-6353404.462811	-2.820251	4.682617	4.370718
SOYUZ-MS 22	2024-06-28 22:36:47.568168	90.000000	6.038577	-6352443.157056	2.238725	6.503521	-3.469592
CREW DRAGON 5	2024-06-28 22:37:47.568168	90.000000	10.057117	-6352661.357076	1.830211	6.445517	-3.801263
CSS (MENGTIAN)	2024-06-28 22:38:47.568168	-90.000000	-24.808919	-6356504.377915	2.596714	5.178266	5.110377
CYGNUS NG-18	2024-06-28 22:39:47.568168	90.000000	17.352694	-6353154.737095	0.989142	6.238628	-4.409200
TIANZHOU-5	2024-06-28 22:40:47.568168	90.000000	-18.854642	-6356386.647844	1.602966	5.576402	5.100899
SHENZHOU-15	2024-06-28 22:41:47.568168	90.000000	-15.860846	-6356081.751127	1.093235	5.735755	5.059239
PROGRESS-MS 22	2024-06-28 22:42:47.568168	90.000000	26.831730	-6354019.141452	-0.302577	5.709409	-5.161667
ISS DEB	2024-06-28 22:46:47.568168	-90.000000	36.413836	-6351756.058414	-5.864430	4.822300	-1.608248
ISS (NAUKA)	2024-06-28 22:48:47.568168	90.000000	42.710556	-6356054.653398	-2.793393	3.958078	-5.986115
FREGAT DEB	2024-06-28 22:49:47.568168	90.000000	53.805110	-6350939.141114	-6.840336	3.010360	0.662772
CSS (WENTIAN)	2024-06-28 22:50:47.568168	90.000000	13.927264	-6353651.216288	-3.434647	5.882403	3.648659
SOYUZ-MS 22	2024-06-28 22:51:47.568168	-90.000000	50.054072	-6356365.353150	-3.886474	2.810661	-6.023039
CREW DRAGON 5	2024-06-28 22:52:47.568168	-90.000000	52.512757	-6356005.190249	-4.216235	2.399338	-5.978287
CSS (MENGTIAN)	2024-06-28 22:53:47.568168	90.000000	26.025621	-6353066.304701	-4.731714	5.415602	2.827519
CYGNUS NG-18	2024-06-28 22:54:47.568168	-90.000000	57.533262	-6355297.153408	-4.814396	1.545052	-5.804344
TIANZHOU-5	2024-06-28 22:55:47.568168	90.000000	34.938805	-6352763.605708	-5.486053	4.973118	2.209877
SHENZHOU-15	2024-06-28 22:56:47.568168	90.000000	39.652883	-6352640.741643	-5.824523	4.715505	1.884363
PROGRESS-MS 22	2024-06-28 22:57:47.568168	-90.000000	65.557634	-6354290.674113	-5.537974	0.215215	-5.339735
ISS (ZARYA)	2024-06-28 23:00:47.568168	90.000000	24.160558	-6353792.386920	0.065538	5.864880	-4.994363
ISS (ZARYA)	2024-06-28 23:15:47.568168	-90.000000	63.048988	-6354531.874907	-5.375859	0.589246	-5.477061
CSS (TIANHE)	2024-06-28 23:17:47.568168	90.000000	-12.323007	-6355730.960350	0.491630	5.886365	4.979820
SOYUZ-MS 23	2024-06-28 23:28:47.568168	-90.000000	-25.329362	-6352956.542566	-0.101407	6.463272	-4.187266
CSS (TIANHE)	2024-06-28 23:32:47.568168	90.000000	45.348398	-6352522.534384	-6.183611	4.385779	1.494789
SOYUZ-MS 23	2024-06-28 23:43:47.568168	-90.000000	55.588866	-6351680.807732	-4.973870	5.644970	1.605624
SL-4 R/B	2024-06-28 23:44:47.568168	90.000000	-22.696272	-6356168.059602	1.379340	4.675366	6.069754
SL-4 R/B	2024-06-28 23:59:47.568168	90.000000	29.381200	-6351980.965029	-5.569339	4.887625	2.343760
ISS DEB	2024-06-29 00:01:47.568168	-90.000000	-18.536471	-6355136.920753	0.200672	5.175703	-5.791092
ISS (NAUKA)	2024-06-29 00:03:47.568168	90.000000	-15.500607	-6351737.963735	3.919132	6.372210	-1.840863
SOYUZ-MS 22	2024-06-29 00:06:47.568168	90.000000	-0.355379	-6352173.414922	2.826447	6.517338	-2.980576
